,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,4.25,1.50,158.52,0.0,0.00,-1.2,1080.972,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,7,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.50,2.00,203.97,0.1,0.00,12.3,-966.942,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,8,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,69.25,0.1,0.00,-41.4,-82.065,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,9,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,46.42,0.1,0.00,56.9,-22.006,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,10,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,27.87,0.2,0.00,-48.3,-6.790,45.92,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,8.7,00.000000,00.000000,17062201,1,0,11.71,12.32,21.1,22/06/2017 09:57:57,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,17.02,0.5,0.00,31.1,-2.369,45.92,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,8.7,00.000000,00.000000,17062201,2,0,11.71,12.32,21.1,22/06/2017 09:57:57,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,1.50,2.00,236.41,0.3,0.00,-24.1,-3138.466,39.10,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,10.2,00.000000,00.000000,17062201,1,0,11.77,12.32,21.1,22/06/2017 09:58:07,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.00,2.50,95.24,0.2,0.00,-44.6,-180.622,39.10,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,10.2,00.000000,00.000000,17062201,2,0,11.77,12.32,21.1,22/06/2017 09:58:07,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.50,3.00,57.17,0.2,0.00,58.0,-36.142,39.10,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,10.2,00.000000,00.000000,17062201,3,0,11.77,12.32,21.1,22/06/2017 09:58:07,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,3.00,3.50,29.98,0.4,0.00,-47.5,-8.616,39.10,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,16,10.2,00.000000,00.000000,17062201,4,0,11.77,12.32,21.1,22/06/2017 09:58:07,0.0,0.00,0.0
