644   (removed low and high geometric factor measurements, added 2% noise to R                                                   
189	2	7	2	5	1	1	1	3	0.306967316
190	3	23	3	21	2	17	2	19	0.340124587
191	3	7	3	5	2	1	2	3	0.342271577
192	2	10	2	8	1	4	1	6	0.376239829
193	2	12	2	10	1	6	1	8	0.4248901
194	3	17	3	15	2	11	2	13	0.30900149
195	2	18	2	16	1	12	1	14	0.32221583
196	3	14	3	12	2	8	2	10	0.4411853
197	3	15	3	13	2	9	2	11	0.390273369
198	2	15	2	13	1	9	1	11	0.377095398
199	3	13	3	11	2	7	2	9	0.404474067
200	3	16	3	14	2	10	2	12	0.32461423
201	2	9	2	7	1	3	1	5	0.324612976
202	2	24	2	22	1	18	1	20	0.332760905
203	2	14	2	12	1	8	1	10	0.388731779
204	3	22	3	20	2	16	2	18	0.347242842
205	3	11	3	9	2	5	2	7	0.392767263
206	2	23	2	21	1	17	1	19	0.345478644
207	3	25	3	23	2	19	2	21	0.334785079
208	3	24	3	22	2	18	2	20	0.327108326
209	2	16	2	14	1	10	1	12	0.348508626
210	3	19	3	17	2	13	2	15	0.335690839
211	3	10	3	8	2	4	2	6	0.359425229
212	3	12	3	10	2	6	2	8	0.392794174
213	3	8	3	6	2	2	2	4	0.320765241
214	2	13	2	11	1	7	1	9	0.399448135
215	3	20	3	18	2	14	2	16	0.329786558
216	2	8	2	6	1	2	1	4	0.302222929
217	2	17	2	15	1	11	1	13	0.335774228
218	2	22	2	20	1	16	1	18	0.339509484
219	3	22	3	20	3	14	3	16	0.341800577
220	1	18	1	16	1	10	1	12	0.333079462
221	3	24	3	22	3	16	3	18	0.335957107
222	3	25	3	23	3	17	3	19	0.331740463
223	3	10	3	8	3	2	3	4	0.339621075
224	1	15	1	13	1	7	1	9	0.352969665
225	1	22	1	20	1	14	1	16	0.324360899
226	1	14	1	12	1	6	1	8	0.370482431
227	1	11	1	9	1	3	1	5	0.343432697
228	2	25	2	23	2	17	2	19	0.326377194
229	2	19	2	17	2	11	2	13	0.323837608
230	1	13	1	11	1	5	1	7	0.347760502
231	2	9	2	7	2	1	2	3	0.315625865
232	2	22	2	20	2	14	2	16	0.318611868
233	1	16	1	14	1	8	1	10	0.357435133
234	2	12	2	10	2	4	2	6	0.417020397
235	1	12	1	10	1	4	1	6	0.34680373
236	3	16	3	14	3	8	3	10	0.349662934
237	1	17	1	15	1	9	1	11	0.333824572
238	3	20	3	18	3	12	3	14	0.328015384
239	3	11	3	9	3	3	3	5	0.34270914
240	2	20	2	18	2	12	2	14	0.322275199
241	2	21	2	19	2	13	2	15	0.32519268
242	2	14	2	12	2	6	2	8	0.31583393
243	2	24	2	22	2	16	2	18	0.332007741
244	1	24	1	22	1	16	1	18	0.321876385
245	3	12	3	10	3	4	3	6	0.355937797
246	1	9	1	7	1	1	1	3	0.332157629
247	3	19	3	17	3	11	3	13	0.337871504
248	3	17	3	15	3	9	3	11	0.337553748
249	1	20	1	18	1	12	1	14	0.326698349
250	1	25	1	23	1	17	1	19	0.329035837
251	3	15	3	13	3	7	3	9	0.355806757
