,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,1.00,1.50,678.29,0.0,13.17,238.9,-932.799,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,24.08,21.26,19.03,17.25,15.76,14.50,13.42,12.48,11.63,10.89,10.26,9.67,9.11,8.68,8.25,7.83,7.48,7.14,6.81,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,1,0,12.75,12.23,18.7,23/10/2018 16:05:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,737.60,0.0,13.11,374.1,-253.592,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.73,23.17,20.52,18.62,16.98,15.62,14.47,13.37,12.55,11.73,11.16,10.43,9.86,9.38,8.87,8.37,8.18,7.78,7.38,7.08,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,2,0,12.75,12.23,18.7,23/10/2018 16:05:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,785.73,0.0,12.95,-261.8,-108.056,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.98,22.73,20.11,18.00,16.93,15.54,14.27,13.19,12.50,11.79,10.88,10.46,9.75,9.46,8.81,8.35,7.87,7.59,7.53,7.21,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,3,0,12.75,12.23,18.7,23/10/2018 16:05:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.50,3.00,838.19,0.0,13.16,-89.2,-57.635,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.58,23.70,21.21,18.32,16.92,15.96,14.39,12.94,12.40,11.79,11.25,9.93,9.71,9.35,8.55,8.42,8.27,7.63,7.61,7.18,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,4,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.00,3.50,1029.54,0.0,13.28,-2.7,-40.453,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.98,23.70,20.26,18.43,17.54,16.06,15.24,12.85,12.51,12.27,10.99,10.23,9.43,10.68,9.28,8.88,8.42,8.55,7.15,7.20,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,5,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.50,4.00,1036.85,0.0,10.91,71.3,-25.462,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.92,18.76,15.73,15.45,13.62,12.77,11.86,11.19,11.19,9.71,9.04,8.34,7.46,8.69,7.14,7.21,7.00,8.59,6.44,5.98,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,6,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,4.00,4.50,961.20,0.0,9.89,6.8,-15.737,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.95,17.36,17.99,14.86,14.74,12.64,10.99,10.70,9.05,7.97,7.86,7.86,6.77,4.78,6.20,5.69,6.43,7.29,5.18,4.44,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,7,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,4.50,5.00,850.35,0.0,10.93,11.2,-9.745,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.06,14.80,14.80,15.53,17.37,14.61,12.78,12.87,8.73,11.21,11.12,7.17,5.42,8.92,7.63,7.35,5.24,7.72,4.32,9.01,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,8,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,5.00,5.50,1165.62,0.0,8.85,-23.8,-9.715,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.56,16.41,15.12,11.62,9.68,13.83,12.08,10.88,6.18,8.30,8.76,3.96,7.74,10.69,5.07,4.42,3.69,6.18,3.32,4.61,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,9,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,5.50,6.00,747.14,0.0,12.00,-2.4,-4.670,12.96,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.25,21.86,19.75,14.00,15.91,19.75,9.59,6.52,9.20,9.39,9.78,9.01,11.50,8.44,8.44,7.09,14.76,11.31,2.30,14.19,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,0.00,49,1,3.8,00.000000,00.000000,18102305,10,0,12.75,12.23,18.7,23/10/2018 16:05:46,0.0,0.00,0.0
