,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,4.25,1.50,72.17,0.03,0.00,16.06,1222.606,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,7,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.50,2.00,70.23,0.04,0.00,4.29,-827.097,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,8,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,71.18,0.03,0.00,-3.58,-209.589,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,9,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,94.62,0.00,0.00,13.36,-111.434,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,10,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,73.70,0.03,0.00,12.27,-26.537,67.874,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,0.00,72,5,1.1,00.000000,00.000000,17051601,1,0,11.92,12.30,21.1,16/05/2017 09:34:15,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,74.63,0.00,0.00,-9.30,-15.356,67.874,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,0.00,72,5,1.1,00.000000,00.000000,17051601,2,0,11.92,12.30,21.1,16/05/2017 09:34:15,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,1.50,2.00,80.91,0.18,0.00,-70.02,-2810.231,102.295,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,193,20,1.9,00.000000,00.000000,17051601,1,0,11.62,12.30,21.1,16/05/2017 09:34:25,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.00,2.50,89.16,0.11,0.00,-17.69,-442.385,102.295,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,193,20,1.9,00.000000,00.000000,17051601,2,0,11.62,12.30,21.1,16/05/2017 09:34:25,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.50,3.00,121.91,0.09,0.00,7.40,-201.631,102.295,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,193,20,1.9,00.000000,00.000000,17051601,3,0,11.62,12.30,21.1,16/05/2017 09:34:25,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,3.00,3.50,95.26,0.11,0.00,10.49,-71.612,102.295,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,193,20,1.9,00.000000,00.000000,17051601,4,0,11.62,12.30,21.1,16/05/2017 09:34:25,0,0,0.0,0.00,0.0
