,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,4.25,1.50,41.95,0.0,1.55,-30.4,840.454,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13,2.75,2.46,2.21,2.03,1.87,1.73,1.60,1.49,1.39,1.32,1.22,1.16,1.10,1.04,1.00,0.94,0.89,0.86,0.83,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,7,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.50,2.00,37.87,0.0,0.79,-5.1,-527.381,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,1.49,1.30,1.17,1.07,0.96,0.87,0.81,0.75,0.69,0.63,0.60,0.57,0.54,0.49,0.45,0.46,0.43,0.41,0.37,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,8,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,43.57,0.0,2.36,-32.5,-151.717,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,4.07,3.68,3.32,3.08,2.81,2.63,2.42,2.29,2.12,2.02,1.85,1.81,1.71,1.70,1.59,1.49,1.39,1.32,1.31,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,9,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,61.85,0.0,2.11,-25.9,-86.148,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,3.49,3.22,2.90,2.54,2.44,2.37,1.98,2.11,2.08,1.83,1.72,1.85,1.57,1.63,1.40,1.39,1.30,1.34,1.27,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,10,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,57.26,0.3,4.85,15.2,-23.204,76.39,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.48,9.10,7.65,7.24,6.56,5.83,5.43,5.24,4.80,4.40,4.15,3.90,3.31,3.01,3.07,2.91,2.71,2.65,2.32,2.33,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,79,6,1.0,00.000000,00.000000,17042716,1,0,11.56,12.01,13.3,27/04/2017 14:57:00,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,65.91,0.3,3.66,85.2,-15.264,76.39,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83,6.17,6.01,4.96,4.67,4.56,4.14,3.73,3.46,3.51,3.00,3.09,2.69,2.45,2.55,2.71,2.62,2.32,1.78,1.89,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,79,6,1.0,00.000000,00.000000,17042716,2,0,11.56,12.01,13.3,27/04/2017 14:57:00,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,1.50,2.00,41.43,0.0,3.58,8.0,-1485.268,105.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.38,5.76,5.27,4.86,4.52,4.21,3.95,3.72,3.52,3.33,3.16,3.01,2.88,2.75,2.64,2.53,2.43,2.33,2.25,2.17,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,118,12,1.1,00.000000,00.000000,17042716,1,0,11.41,11.98,13.3,27/04/2017 14:57:18,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.00,2.50,40.69,0.0,2.00,-29.4,-208.441,105.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.99,3.51,3.10,2.81,2.58,2.40,2.27,2.07,1.90,1.76,1.67,1.60,1.50,1.45,1.35,1.27,1.25,1.21,1.14,1.11,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,118,12,1.1,00.000000,00.000000,17042716,2,0,11.41,11.98,13.3,27/04/2017 14:57:19,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.50,3.00,56.30,0.0,1.57,-25.0,-96.131,105.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,2.48,2.26,2.13,1.90,1.80,1.67,1.61,1.59,1.41,1.44,1.40,1.27,1.23,1.20,1.16,1.07,1.01,0.94,0.91,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,118,12,1.1,00.000000,00.000000,17042716,3,0,11.41,11.98,13.3,27/04/2017 14:57:19,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,3.00,3.50,55.45,0.1,4.43,15.3,-43.034,105.60,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.67,8.54,7.39,6.49,5.84,5.49,4.77,4.20,4.25,3.94,3.65,3.49,3.17,2.98,2.68,2.79,2.63,2.24,2.22,2.24,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,118,12,1.1,00.000000,00.000000,17042716,4,0,11.41,11.98,13.3,27/04/2017 14:57:19,0.0,0.00,0.0
