El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,0,4,7,15,35.59,0.11,0.83,-14.78,-48.019,50.99,1.87,0.28,1.34,0.99,1.51,1.16,0.52,2.25,1.68,0.84,0.44,0.08,1.01,0.28,-0.56,0.58,1.19,0.52,1.14,-0.52,40
Mixed / non conventional,0,4,3,2,35.82,1.6,0.56,-103.92,-182.282,47.956,1.01,1.25,1.08,0.88,0.71,0.1,1.8,1.42,1.09,0.75,0.84,-1.01,-0.74,-0.49,0.72,0.39,0.23,-0.07,0.07,1.24,40
Mixed / non conventional,0,4,2,5,35.6,0.1,0.27,-114.18,217.373,47.956,0.64,0.64,0.45,0.46,0.38,-0.46,1.4,0.96,0.87,0.61,0.62,-0.71,-0.79,-0.7,0.78,-0.14,-0.15,-0.3,-0.1,1.04,40
Mixed / non conventional,0,4,5,1,40.23,0.01,1.18,69.7,-450.388,47.956,2.99,2.52,2.12,1.92,1.66,1.41,1.34,1.16,1.08,0.95,0.91,0.76,0.75,0.68,0.81,0.56,0.54,0.48,0.46,0.48,40
Mixed / non conventional,0,4,3,2,35.82,0.56,0.82,-84.82,-174.95,46.033,1.3,2.22,1.68,0.62,1.84,1.14,0,-0.64,0.84,-0.96,0.93,1.03,1.8,1.41,0.11,0.66,1.49,0.7,0.77,-0.56,40
Mixed / non conventional,0,4,2,5,35.61,0.04,0.62,-109.3,208.693,46.033,1.21,1.58,1.31,0.37,1.65,0.92,-0.32,-0.73,0.57,-1.06,0.8,0.63,1.41,1.41,0.58,0.24,1.44,0.35,0.36,-0.35,40
Mixed / non conventional,0,4,5,11,31.5,0.01,0.25,-8.05,-172.613,46.033,0.67,0.52,0.41,0.53,0.1,0.45,0.37,0.42,-0.08,0.2,0.09,0.03,0.15,0.16,0.37,-0.05,0.17,0.14,-0.17,0.55,40
Mixed / non conventional,0,4,11,23,68.04,0.23,0.68,-2.72,-21.332,46.033,0.5,2.94,1.22,0.22,1.26,2.72,0.76,0.13,0.62,-2.14,0.84,3.23,0.59,0.97,-3.74,1.51,1.39,2.43,0.93,-2.77,40
Mixed / non conventional,0,4,23,6,33.2,0.02,0.85,-4.65,78.863,46.033,1.64,2,1.54,1.31,1.29,0.84,0.77,0.67,1.45,0.61,0.98,1.3,0.85,0.83,-0.26,0.73,-0.03,0.42,0.72,-0.68,40
Mixed / non conventional,0,4,6,13,29.7,0.06,0.53,5.41,-65.087,46.033,1.97,1.62,0.77,0.54,-0.18,1.54,-0.01,-0.22,-0.03,0.91,1,0.66,0.1,0.17,-0.41,0.26,-0.29,0.98,1.05,0.23,40
Mixed / non conventional,0,4,13,8,38.84,0.03,0.72,-4.52,25.838,46.033,1.66,1.6,-0.9,0.28,1.66,1.59,1.14,0.25,2.18,1.42,0.45,3.25,2.21,0.75,-2.15,-0.04,-1.35,-0.31,-0.1,0.8,40
Mixed / non conventional,0,4,8,17,43.41,0.2,0.59,-30.3,-33.997,46.033,1.79,2.03,1.37,1.85,0.74,0.63,-0.92,-0.23,1,0.03,1.68,2.89,0.79,-0.37,-1.66,0.98,-1.89,0.27,1.58,-0.76,40
Mixed / non conventional,0,4,17,9,48.56,0.05,1.85,42.12,25.184,46.033,2.99,1.82,0.39,2.99,3.55,0.03,3.91,2.95,3.12,1.38,2.31,1.85,2.06,1.2,-1.39,3.09,1.14,0.93,1.07,1.67,40
Mixed / non conventional,0,4,9,19,50.46,0.23,0.7,-40.62,-27.674,46.033,1,1.78,0.94,0.42,0.58,2.85,0.03,-0.2,0.48,0.23,0.45,0.58,0.91,0.59,0.71,0.29,0.13,2.88,0.75,-1.49,40
Mixed / non conventional,0,4,10,21,59.1,0.09,2.01,-20.81,-23.671,45.374,4.15,2.4,5.78,2.49,-0.71,4.2,6.83,5.53,0.19,5.24,3.41,2.42,-1.14,-1.69,-0.75,2.3,4.52,-0.77,-1.29,-2.98,40
Mixed / non conventional,0,5,2,1,48.37,0.01,1.87,-10.51,-312.438,69.573,4.45,3.39,2.72,1.91,3.43,2.97,3.46,2.61,1.33,1.39,2.09,1.44,0.61,1.47,0.3,0.77,1.27,1.34,0.56,-0.1,40
Mixed / non conventional,0,5,1,3,41.86,0.04,1.72,57.28,424.935,69.573,4.03,3.02,2.56,2.35,2.89,2.55,2.84,2.32,1.04,1.15,1.69,1.47,0.9,1.32,0.58,0.73,1.09,1.11,0.62,0.23,40
Mixed / non conventional,0,5,3,7,52.79,0.27,1.16,-182.82,111.348,69.573,2.24,2.12,1.93,1.39,1.68,1.46,1.12,1.3,1.11,0.96,1.05,0.68,0.69,0.79,0.72,1.01,1.11,0.94,0.52,0.36,40
Mixed / non conventional,0,5,7,15,33.64,0.01,1.01,-9.48,-120.62,69.573,2.19,2.32,1.81,0.79,1.71,1.15,0.82,0.74,1.56,1.39,1.12,0.31,0.41,0.93,0.67,0.28,0.38,0.28,0.51,0.85,40
Mixed / non conventional,0,5,2,4,34.61,0.29,0.72,-316.41,335.938,66.53,2.9,1.89,1.53,1.64,1.11,0.38,0.38,0.87,0.3,0.62,0.94,1.28,0.22,-0.09,0.18,0.13,0.17,-0.12,0.02,-0.05,40
Mixed / non conventional,0,5,4,9,29.31,0.5,0.2,206.95,-189.673,66.53,3.15,1.52,1.19,1.71,0.63,-0.58,-0.55,0.3,-0.52,0.44,0.54,1.39,-0.4,-1.19,-0.23,-0.11,-0.87,-1.12,-0.46,-0.86,40
Mixed / non conventional,0,5,9,19,46.99,0.16,1.11,-37.6,-59.747,66.53,1.3,1.86,1.62,1.68,2.1,1.77,1.69,1.45,0.93,0.65,0.42,0.64,1.06,0.34,0.45,1.57,0.52,0.73,0.76,0.57,40
