El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,1,4,11,12,51.69,0.24,1.19,16.04,-10.466,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,12,15,59.91,0.02,0.95,-34.85,-20.216,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,15,16,80.4,0.37,1.61,-4.32,-5.225,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,16,17,76.26,0.28,5.33,23.14,-3.952,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,17,18,67.5,0.69,1.01,0.19,-2.834,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,18,19,90.06,1.64,2.51,6.82,-3.108,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,19,20,88.79,1.81,10.17,-7.79,-2.548,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,21,81.91,3.67,3.67,14.84,-1.977,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,21,80.61,0.51,-1.33,14.13,-1.948,145.276,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,21,22,89.39,0.66,-1.93,9.65,-1.833,145.276,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,22,23,110.89,0.16,0.02,-7.3,-1.947,145.276,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,23,2,52.05,0,-299.99,225.19,-610.345,145.276,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,2,3,50.41,0.07,1.95,-26.58,565.047,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,3,4,38.11,4.46,3.43,-184.67,427.112,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,4,6,113.57,7.74,-2.25,46.8,254.567,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,6,7,57.74,0.03,1.49,-31.18,-453.031,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,7,8,26.26,0.03,0.57,31.97,-63.073,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,8,9,32.15,0.23,0.99,5.41,-35.393,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,9,10,38.86,0.05,1.2,3.24,-23.591,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,10,11,39.48,0.38,1.74,-0.62,-14.75,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,11,12,51.55,0.12,0.59,15.62,-12.757,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,12,13,46.99,0.24,-0.04,-20.55,-8.122,105.632,1000,0,0,,,,,,,,,,,,,,,,,,40
