time,a,b,m,n,injection_duration_[ms],vmn_[mV],vmn_std_[%],iab_[mA],iab_std_[%],r_[Ohm],r_std_[%],rab_[kOhm],sp_[mV],nb_stack,vab_[V],channel_mn,injection_id,battery_voltage_tx_[V],s_samples,strategy,cmd_id
2025-08-25T23:22:11.518655,18,31,23,27,500.0,1061.450284090909,0.5478748986793277,2.44334043560606,5.183775945537922,435.60455128794155,5.260186961140001,16.371030175366524,-95.234375,2,40.0,0,64,11.95,132,safe,
2025-08-25T23:22:18.609049,1,2,3,4,500.0,-362.44602272727275,-0.8028630729406934,2.5433617424242425,4.426590016886489,-142.78103166890432,-4.421855356796774,19.659020251024838,-40.68465909090905,2,50.0,0,65,11.95,132,safe,
2025-08-25T23:22:28.640679,2,3,4,5,500.0,-1225.746022591733,-0.49131188388761715,3.9219692270992366,3.968919091369276,-313.0161232715134,-3.9167371399222546,12.748697683429034,68.0210404829545,2,50.0,0,66,11.95,131,safe,
2025-08-25T23:22:38.627128,3,4,5,6,500.0,-1797.6860795454545,-0.5085661359278476,3.853403172348485,3.603139043137726,-467.1246500724237,-3.6391142063041055,12.975543373917745,-25.467329545454504,2,50.0,0,67,11.95,132,safe,
2025-08-25T23:22:48.615479,4,5,6,7,500.0,-1561.9119318181818,-0.316021790585611,4.114464962121212,3.4494094019253345,-380.0557257461583,-3.3821943927156566,12.152248338559797,1.051136363636374,2,50.0,0,68,11.95,132,safe,
2025-08-25T23:22:58.230938,5,6,7,8,500.0,-382.73295454545456,-1.0146535786237483,2.095635653409091,5.821146406410794,-183.25359289877562,-5.916432550855094,23.859109248624456,-26.698863636363583,2,50.0,0,69,11.95,132,safe,
2025-08-25T23:23:06.576486,6,7,8,9,500.0,-715.6178977272727,-0.6774192714608734,2.0333729876893947,5.392831235123964,-352.9538799816352,-5.408940414935358,24.589684382901662,-9.805397727272748,2,50.0,0,70,11.95,132,safe,
2025-08-25T23:23:16.189844,7,8,9,10,500.0,-1153.9630681818182,-0.5420124767092442,4.4061967329545455,3.303666025855706,-262.174099502784,-3.2666953331994346,11.347654912011347,-12.525568181818187,2,50.0,0,71,11.95,132,safe,
2025-08-25T23:23:25.802210,8,9,10,11,500.0,-1109.220632782749,-0.5083158532633851,4.941732954545454,2.76894567643305,-224.6273806407873,-2.740917881458507,10.117908122495674,-15.186763661430518,2,50.0,0,72,11.95,132,safe,
2025-08-25T23:23:36.684912,9,10,11,12,500.0,-1165.3977272727273,-0.4328422628141685,5.971526988636365,2.280098407876804,-195.25837067844313,-2.270539236762178,8.373067742161844,89.2982954545455,2,50.0,0,73,11.95,132,safe,
2025-08-25T23:23:46.672053,10,11,12,13,500.0,-1097.865056818182,-0.41602993108146835,7.104360795454546,2.47083778824481,-154.6275133759925,-2.484161974538836,7.037930848330591,-215.1349431818182,2,50.0,0,74,11.95,132,safe,
